20260611	23:02:24	08d58dee-186f-4e13-aac6-2d79949aed46	GET 	 undefined 	 /
20260611	23:02:29	d14a9007-09ee-4ca2-8891-c9dbe62d153c	GET 	 undefined 	 /resume
20260611	23:02:30	48405f5b-795f-4262-86bf-43b6800230ba	GET 	 undefined 	 /resume
20260611	23:02:44	043e65ce-bf78-40b5-ba9e-90aec3662cea	GET 	 undefined 	 /naukri
20260613	11:44:26	22f0ad55-06b8-4026-b72d-d32cd47955e3	GET 	 undefined 	 /
20260613	11:44:27	ff42f3e3-0463-4b7b-b6d2-23c3a816f6e2	GET 	 undefined 	 /favicon.ico
20260613	11:44:42	cffbc088-57aa-4849-a058-426d54e694b6	GET 	 undefined 	 /.well-known/appspecific/com.chrome.devtools.json
20260613	11:45:01	c3a79259-088e-4cc8-bd3d-822e2d74c132	GET 	 undefined 	 /
20260613	11:45:01	63f16b94-c0aa-44db-bbee-80ffe9fe9f6c	GET 	 undefined 	 /.well-known/appspecific/com.chrome.devtools.json
20260613	11:45:32	4553ef3c-f2f9-4084-95bb-8ad5774fc909	GET 	 undefined 	 /
20260613	11:47:25	34ccecd9-4337-4ba5-b837-00055d3861e2	GET 	 undefined 	 /
20260613	11:47:25	7b71fea6-30a8-4bba-a209-5c080e1c5e84	GET 	 undefined 	 /.well-known/appspecific/com.chrome.devtools.json
20260613	11:47:25	d9948011-0d33-47e6-8884-dcdc983b8791	GET 	 undefined 	 /
20260613	11:47:25	37316155-7c11-42db-9004-6652803966d5	GET 	 undefined 	 /.well-known/appspecific/com.chrome.devtools.json
20260613	11:47:25	b2757e12-3ef4-45f1-8707-12b2a750a9b4	GET 	 undefined 	 /
20260613	11:47:25	4b05947c-d705-48ff-abef-c014659d926f	GET 	 undefined 	 /.well-known/appspecific/com.chrome.devtools.json
20260613	11:47:27	11b7a10b-c466-4c9b-b0a7-97e785c1c069	GET 	 undefined 	 /
20260613	12:00:50	44d0d4da-c90e-4c5b-8212-cc2d5591cf37	GET 	 undefined 	 /
20260613	12:00:50	e078954b-c769-4e67-905e-a3d65a083f51	GET 	 undefined 	 /.well-known/appspecific/com.chrome.devtools.json
20260613	12:00:50	119459c8-10dc-42b4-8d84-8ab1b32c3df1	GET 	 undefined 	 /
20260613	12:00:50	27ef87a0-c9f4-4bc1-aeec-9a79f8551877	GET 	 undefined 	 /.well-known/appspecific/com.chrome.devtools.json
20260613	12:00:50	37e8f43d-a75c-473f-84e0-fafc7483c1d5	GET 	 undefined 	 /
20260613	12:00:50	c8af8075-6fd9-4dcf-a927-9d02b56bccb9	GET 	 undefined 	 /.well-known/appspecific/com.chrome.devtools.json
20260613	12:00:53	5fdc0f2c-e5c7-41e8-87f2-927f0b6b03eb	GET 	 undefined 	 /
20260613	12:06:02	8c1023cb-0226-45ef-b123-f776ae8f2e25	GET 	 undefined 	 /
20260613	12:25:48	9cdd11ca-a22e-446e-8e81-084061432078	GET 	 https://www.google.com 	 /
20260613	12:25:57	5df98578-7c14-43b8-984f-d9c40eb70fef	GET 	 https://www.google.com 	 /
20260613	14:49:14	0c9f0d71-d2c8-477d-a2a3-d833d42ba4fa	GET 	 https://www.playstation.com 	 /
20260613	14:49:51	0f77e3d2-3e48-4afd-831d-0082c2c9d4f6	GET 	 https://www.playstation.com 	 /
20260613	14:50:28	95a71914-c29c-4709-989e-1c42a5412e0a	GET 	 https://www.playstation.com 	 /
20260613	16:34:26	d97e6daa-d435-4f13-a369-f9769ec2aaec	GET 	 undefined 	 /
20260613	16:35:04	e8a6673d-580a-489c-ba17-15fb2bd59bff	GET 	 https://www.google.com 	 /
20260613	16:36:23	e73052a3-9001-41a5-8404-915858773676	GET 	 https://www.google.com 	 /
20260613	17:22:38	e2a62686-0802-493d-befc-53625277f8c5	GET 	 https://www.google.com 	 /
20260613	17:23:14	e46dac06-4e9f-4b3e-aa68-97640d71b8e0	GET 	 https://www.google.com 	 /
20260613	17:23:29	88085d51-ca40-4453-9e9b-78bbccd773d8	GET 	 https://www.google.com 	 /
20260613	17:23:58	b88beed8-eee4-4ada-a66b-c26d3ecd1574	GET 	 https://www.google.com 	 /
20260613	17:24:50	dd2145b4-75a1-4a3f-822a-06e473dc9033	GET 	 https://www.google.com 	 /
20260613	17:25:38	41d974df-8fb6-43f6-8a40-4a2290b0722c	GET 	 https://www.google.com 	 /
20260614	16:07:15	e1ad7b69-f14f-48a2-b3d0-4655a603f888	GET 	 undefined 	 /
20260614	16:07:15	251ee7b5-b1bb-488a-96bc-162f4184e913	GET 	 undefined 	 /favicon.ico
20260614	16:07:32	d9504664-217e-4655-99bc-aa60236e7917	GET 	 https://www.google.com 	 /
20260614	16:07:58	8cc57241-3fbd-4948-8caa-38b94a1783e4	GET 	 https://www.google.com 	 /
20260615	17:01:59	77a1039f-b0ff-4f61-99d1-e6b3ac4c3303	GET 	 undefined 	 /
20260615	17:01:59	81742707-aba9-4641-90ec-7295524d8082	GET 	 undefined 	 /favicon.ico
20260615	17:02:17	6adcac11-6684-4e6c-9f23-8c262e7a2155	GET 	 undefined 	 /
20260615	17:02:18	1de53398-421e-4e41-85e3-ff8db0c8096d	GET 	 undefined 	 /
20260615	17:02:18	1591c642-850f-4c84-b4fa-aeb6bd088113	GET 	 undefined 	 /
20260615	17:02:18	5a466942-66fb-4f9a-813b-f6dedc1d53da	GET 	 undefined 	 /
20260615	17:02:19	156e0605-ba24-40b2-a6ff-e0162c67db54	GET 	 undefined 	 /
20260615	17:02:23	6658a122-78b5-47eb-a0ba-303b02a7ad4b	GET 	 undefined 	 /
20260615	17:02:23	06d80e7a-e53f-4a2c-ba09-2008503b7976	GET 	 undefined 	 /
20260615	17:02:24	3b13be16-ed91-4c37-a147-12b169db9302	GET 	 undefined 	 /
20260615	17:02:24	62f67530-1409-4f3f-ad28-14805e10fbf6	GET 	 undefined 	 /
20260615	17:02:24	e2e668d6-eb41-4367-b7c5-fa428b04bb37	GET 	 undefined 	 /
20260615	17:02:24	3369e646-afb1-4baf-89c3-07d7226eb113	GET 	 undefined 	 /
20260615	17:02:24	284d6a9f-f7d8-4416-8756-e0decf4f12aa	GET 	 undefined 	 /
20260615	17:02:24	36061bff-56bd-41e2-84c7-d446d73baf94	GET 	 undefined 	 /
20260615	17:02:24	afe1a702-a73c-4212-b68d-c30203b325a5	GET 	 undefined 	 /
20260615	17:02:35	24d614af-df67-41d9-b8c2-4da32fefc29e	GET 	 undefined 	 /
20260615	17:02:35	a6959671-502f-49df-b342-f93d1fd86c52	GET 	 undefined 	 /
20260615	17:02:36	f974a857-a0e5-4bd4-8c25-bc0641f45b26	GET 	 undefined 	 /
20260615	17:02:36	ac3937e9-159c-40bb-b1ef-267507e9be45	GET 	 undefined 	 /
20260615	17:02:39	272e27e6-2666-4ca3-aae3-0f7b87755db3	GET 	 undefined 	 /
20260615	17:03:40	a5edede8-cf05-45fa-9a60-e274aeb0836e	GET 	 undefined 	 /
20260615	17:03:40	75e8e383-7e54-4e19-9ec3-a1c86a3d5fe3	GET 	 undefined 	 /
20260615	17:03:41	8863c0b0-d0c0-4f18-a449-67ab38e97858	GET 	 undefined 	 /
20260615	17:03:41	2c1cc58b-e951-4f39-9368-92c083cfe8e3	GET 	 undefined 	 /
20260615	17:03:55	7c664cf2-27fd-4cf7-921d-6987d9d47522	GET 	 undefined 	 /resume
20260615	17:03:57	491412a3-dacd-4b7c-9d74-6538d59ad066	GET 	 undefined 	 /resume
